TERYT Gminy,Gmina,Liczba wyborców uprawnionych do głosowania,Liczba głosów ważnych,KOMITET WYBORCZY BEZPARTYJNI SAMORZĄDOWCY,KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE,KOMITET WYBORCZY NOWA LEWICA,KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ,KOMITET WYBORCZY KONFEDERACJA WOLNOŚĆ I NIEPODLEGŁOŚĆ,KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA PO .N IPL ZIELONI,KOMITET WYBORCZY POLSKA JEST JEDNA,KOMITET WYBORCZY WYBORCÓW RUCHU DOBROBYTU I POKOJU,KOMITET WYBORCZY NORMALNY KRAJ,KOMITET WYBORCZY ANTYPARTIA,KOMITET WYBORCZY RUCH NAPRAWY POLSKI,KOMITET WYBORCZY WYBORCÓW MNIEJSZOŚĆ NIEMIECKA
120303,gm. Chrzanów,34358,25430,387,3865,2680,8128,1506,8541,323,0,0,0,0,0
120304,gm. Libiąż,16592,12382,170,1371,796,5062,836,4005,142,0,0,0,0,0
120305,gm. Trzebinia,25593,18889,351,2750,1644,6229,1428,6216,271,0,0,0,0,0
120401,gm. Bolesław,2091,1042,15,193,32,664,67,57,14,0,0,0,0,0
120402,gm. Dąbrowa Tarnowska,16120,10398,131,1682,278,6171,727,1233,176,0,0,0,0,0
120403,gm. Gręboszów,2543,1461,36,308,31,944,49,81,12,0,0,0,0,0
120404,gm. Mędrzechów,2673,1534,25,251,38,933,124,130,33,0,0,0,0,0
120405,gm. Olesno,5977,3689,50,540,82,2361,300,284,72,0,0,0,0,0
120406,gm. Radgoszcz,5742,3574,37,357,62,2579,286,198,55,0,0,0,0,0
120407,gm. Szczucin,9824,6009,91,906,175,3589,426,745,77,0,0,0,0,0
120501,m. Gorlice,20146,13766,318,2050,783,5582,872,3784,377,0,0,0,0,0
120502,gm. Biecz,12819,8437,169,1185,262,4775,670,1021,355,0,0,0,0,0
120503,gm. Bobowa,7160,4916,98,559,133,3097,487,435,107,0,0,0,0,0
120504,gm. Gorlice,13092,9067,195,1329,336,4803,745,1422,237,0,0,0,0,0
120505,gm. Lipinki,5294,3589,68,456,115,2157,248,366,179,0,0,0,0,0
120506,gm. Łużna,6429,4313,75,560,126,2477,440,503,132,0,0,0,0,0
120507,gm. Moszczenica,3764,2463,41,345,56,1508,242,171,100,0,0,0,0,0
120508,gm. Ropa,4107,2926,59,349,82,1724,277,306,129,0,0,0,0,0
120509,gm. Sękowa,3934,2638,41,583,89,1211,189,465,60,0,0,0,0,0
120510,gm. Uście Gorlickie,5571,3678,106,671,160,1583,305,799,54,0,0,0,0,0
120601,gm. Czernichów,11651,8460,158,1362,525,3768,790,1730,127,0,0,0,0,0
120602,gm. Igołomia-Wawrzeńczyce,6083,4171,44,630,191,2227,433,603,43,0,0,0,0,0
120603,gm. Iwanowice,7316,5457,103,846,244,2705,491,979,89,0,0,0,0,0
120604,gm. Jerzmanowice-Przeginia,8609,6392,83,845,387,3400,579,1012,86,0,0,0,0,0
120605,gm. Kocmyrzów-Luborzyca,12883,9753,162,1805,618,3988,807,2175,198,0,0,0,0,0
120606,gm. Krzeszowice,25054,18681,304,2546,1287,7278,1455,5456,355,0,0,0,0,0
120607,gm. Liszki,13772,10480,130,1617,606,4802,938,2194,193,0,0,0,0,0
120608,gm. Michałowice,8916,7224,121,1370,471,2400,593,2122,147,0,0,0,0,0
120609,gm. Mogilany,11425,9155,127,1477,622,3258,802,2665,204,0,0,0,0,0
120610,gm. Skała,8321,6330,99,932,426,3021,548,1229,75,0,0,0,0,0
120611,gm. Skawina,33322,25135,400,4369,1642,9669,2239,6379,437,0,0,0,0,0
120612,gm. Słomniki,10526,7549,92,1239,362,3720,692,1227,217,0,0,0,0,0
120613,gm. Sułoszowa,4485,3439,39,663,100,2011,244,304,78,0,0,0,0,0
120614,gm. Świątniki Górne,8178,6257,84,1085,349,2535,507,1551,146,0,0,0,0,0
120615,gm. Wielka Wieś,11229,9357,144,1703,720,2977,836,2836,141,0,0,0,0,0
120616,gm. Zabierzów,21803,17831,236,2793,1339,5751,1446,5975,291,0,0,0,0,0
120617,gm. Zielonki,18246,15234,235,2856,1281,4253,1216,5168,225,0,0,0,0,0
120701,m. Limanowa,11136,8379,155,1690,284,3993,661,1200,396,0,0,0,0,0
120702,m. Mszana Dolna,5998,4287,92,613,172,2061,362,831,156,0,0,0,0,0
120703,gm. Dobra,7630,5250,110,748,185,2947,556,542,162,0,0,0,0,0
120704,gm. Jodłownik,6464,4464,94,611,119,2770,377,341,152,0,0,0,0,0
120705,gm. Kamienica,5842,4035,183,328,84,2745,300,285,110,0,0,0,0,0
120706,gm. Laskowa,6063,4728,83,442,76,3261,394,240,232,0,0,0,0,0
120707,gm. Limanowa,19080,14102,200,2346,319,8652,1151,905,529,0,0,0,0,0
120708,gm. Łukowica,7469,5403,155,1004,81,3255,420,279,209,0,0,0,0,0
120709,gm. Mszana Dolna,13078,9183,146,716,203,5944,880,1018,276,0,0,0,0,0
120710,gm. Niedźwiedź,5421,3377,74,278,80,2076,329,400,140,0,0,0,0,0
120711,gm. Słopnice,5025,3627,88,418,76,2327,323,175,220,0,0,0,0,0
120712,gm. Tymbark,4804,3581,115,437,80,2172,306,331,140,0,0,0,0,0
